data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers,delay
20190807,XAX318,WMKK,ZBTJ,57000,79800,61020,82020,A333,60.3,AirAsiaX,16L,105,9MXBB,194.0,7.0,
20190807,TGW139,ZBTJ,WSSS,34800,57000,41520,0,B789,60.0,SCOOTER,16R,101,9VOJB,,,
20190807,TGW138,WSSS,ZBTJ,5400,27000,6720,26580,B789,60.0,SCOOTER,16L,105,9VOJB,,,
20190807,DKH1135,ZSPD,ZBTJ,27600,36600,28860,36600,A320,34.1,ShanghaiJuneyaoAirlines,16L,110,B1006,,,
20190807,DKH1135,ZBTJ,ZYBS,40200,46800,40260,45540,A320,34.1,ShanghaiJuneyaoAirlines,16R,113,B1006,,,
20190807,DKH1136,ZYBS,ZBTJ,49500,56400,49260,54600,A320,34.1,ShanghaiJuneyaoAirlines,16L,116,B1006,,,
20190807,DKH1136,ZBTJ,ZSSS,60600,68400,61740,67440,A320,34.1,ShanghaiJuneyaoAirlines,16R,110,B1006,,,
20190806,GCR7928,ZUCK,ZBTJ,-6900,-84300,12540,20340,A320,34.1,TianjinAirlines,16L,209,B1030,,,
20190807,GCR7889,ZBTJ,ZSAM,34140,43500,39600,48300,E190,28.72,TianjinAirlines,16R,205,B1030,,,
20190807,GCR7890,ZSAM,ZBTJ,48000,57900,53820,62940,E190,28.72,TianjinAirlines,16L,213,B1030,,,
20190807,GCR7853,ZBTJ,ZSHC,65400,70800,67800,73860,E190,28.72,TianjinAirlines,16R,209,B1030,,,
20190807,GCR7854,ZSHC,ZBTJ,75300,83100,77940,83700,E190,28.72,TianjinAirlines,16L,214,B1030,,,
20190807,GCR7981,ZBTJ,RJGG,29100,39600,30300,0,A320,34.1,TianjinAirlines,16R,209,B1052,,,
20190807,GCR7982,RJGG,ZBTJ,43200,53700,46080,55080,A320,34.1,TianjinAirlines,16L,214,B1052,,,
20190807,GCR7991,ZBTJ,RKPC,67200,74400,67440,74100,A320,34.1,TianjinAirlines,16R,211,B1052,,,
20190807,GCR7992,RKPC,ZBTJ,78000,85800,78120,83820,A320,34.1,TianjinAirlines,16L,211,B1052,,,
20190807,LHA4015,ZSNT,ZBTJ,8700,15000,10020,15780,B733,28.3,LonghaoAirlines,16L,907,B1110,,,
20190807,LHA4016,ZBTJ,ZSNT,18000,24600,19680,24840,B733,28.3,LonghaoAirlines,16R,907,B1110,,,
20190807,CES2369,ZSPD,ZBTJ,37500,45900,38940,45780,A20N,35.8,ChinaEasternAirlines,16L,219,B1211,,,
20190807,CES2369,ZBTJ,ZBCF,49400,55500,52440,55980,A20N,35.8,ChinaEasternAirlines,16R,217,B1211,,,
20190807,CES2370,ZBCF,ZBTJ,59400,63900,59700,63060,A20N,35.8,ChinaEasternAirlines,16L,215,B1211,,,
20190807,CES2370,ZBTJ,ZSPD,68400,76200,68640,74940,A20N,35.8,ChinaEasternAirlines,16R,218,B1211,,,
20190807,CCA1396,ZGGG,ZBTJ,31500,42600,46560,55320,B738,35.8,AirChina,16L,117,B1219,,,
20190807,CCA1401,ZBTJ,ZPPP,58400,70300,60540,71700,B738,35.8,AirChina,16R,109,B1219,,,
20190807,CCA1402,ZPPP,ZBTJ,73200,84900,75900,86280,B738,35.8,AirChina,16L,203,B1219,,,
